INTERNAL NAME;PT (corrigido);BR (corrigido);EN (corrigido);UK (corrigido);ES (corrigido);CL (corrigido);MX (corrigido);FR (corrigido)
ASSIST_SOCIAL_REQ;Requisição de assistência social;Requisição de assistência social;Social Services request;Social Services request;Solicitud de asistencia social;Solicitud de asistencia social;Solicitud de asistencia social;Demande d'assistance sociale
ASSESSMENT_TOOLS_NOTES;Escalas de avaliação - notas adicionais;Escalas de avaliação - notas adicionais;Assessment scales - additional notes;Assessment scales - additional notes;Escalas de evaluación - notas adicionales;Escalas de evaluación - notas adicionales;Escalas de evaluación - notas adicionales;Échelles d'évaluation - notes additionnelles
ASSESSMENT_OF_DEVELOPMENT;Avaliação do desenvolvimento;Avaliação do desenvolvimento;Development assessment;Development assessment;Evaluación del desarrollo;Evaluación del desarrollo;Evaluación del desarrollo;Évaluation du développement
APPOINTMENTS_CANCEL_NOTES;Pedido de consulta - notas de cancelamento;Pedido de consulta - notas de cancelamento;Appointment request - cancellation notes;Appointment request - cancellation notes;Solicitud de consulta - notas de cancelación;Solicitud de consulta - notas de cancelación;Solicitud de consulta - notas de cancelación;Demande de consultation - notes d'annulation
APPOINTMENT_REQUESTS_REFUSE_TEXT;Pedidos de acompanhamento - notas de recusa do pedido;Pedidos de acompanhamento - notas de recusa do pedido;Follow-up requests - decline notes;Follow-up requests - decline notes;Solicitudes de seguimiento - notas de rechazo del pedido;Solicitudes de seguimiento - notas de rechazo del pedido;Solicitudes de seguimiento - notas de rechazo del pedido;Demandes de suivi - notes de refus de la demande
APPOINTMENT_REQUESTS_CANCEL_TEXT;Pedidos de acompanhamento - notas de cancelamento;Pedidos de acompanhamento - notas de cancelamento;Follow-up requests - cancellation notes;Follow-up requests - cancellation notes;Solicitudes de seguimiento - notas de cancelación;Solicitudes de seguimiento - notas de cancelación;Solicitudes de seguimiento - notas de cancelación;Demandes de suivi - notes d'annulation
ACT_THERAPIST_FOLLOW_UP_NOTES;Notas de acompanhamento;Notas de acompanhamento;Follow-up notes;Follow-up notes;Notas de seguimiento;Notas de seguimiento;Notas de seguimiento;Notes de suivi
ACT_THERAPIST_FOLLOW_UP_CANCEL_NOTES;Notas de acompanhamento - notas de cancelamento;Notas de acompanhamento - notas de cancelamento;Follow-up notes - cancellation notes;Follow-up notes - cancellation notes;Notas de seguimiento - notas de cancelación;Notas de seguimiento - notas de cancelación;Notas de seguimiento - notas de cancelación;Notes de suivi - notes d'annulation
ACT_THERAPIST_DICHARGE_NOTES;Alta - notas;Alta - notas;Discharge - notes;Discharge - notes;Alta - notas;Alta - notas;Alta - notas;Sortie - notes
ACT_THERAPIST_CANCEL_LOAN;Empréstimos - notas de cancelamento;Empréstimos - notas de cancelamento;Loan - cancellation notes;Loan - cancellation notes;Préstamos - notas de cancelación;Préstamos - notas de cancelación;Préstamos - notas de cancelación;Emprunts - notes d'annulation
ACT_THERAPIST_CANCEL_DELIVER;Devoluções - notas de cancelamento;Devoluções - notas de cancelamento;Return - cancellation notes;Return - cancellation notes;Devoluciones - notas de cancelación;Devoluciones - notas de cancelación;Devoluciones - notas de cancelación;Retour de matériel - notes d'annulation
